Rider,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
KITTEL Marcel,0,1735,2650,2836,3844,3844,5337,12444,14936,14936,15524,15524,20422,20422,23658
DELAPLACE Anthony,0,1,341,601,1609,1614,3107,10001,12621,12621,12916,12916,12916,12916,14735
TEN DAM Laurens,0,1,1,37,37,42,42,150,150,150,410,410,301,301,454
BONO Matteo,0,539,1454,1609,1609,1711,3204
VAN GARDEREN Tejay,0,1,1,26,26,31,31,1238,3501,3501,3808,3808,3808,3226,10002
BAZAYEV Assan,0,1735,2650,2858,3906,4452,5945,12849,15449,15629,20338,20338,21234,21234,24510
MOSER Moreno,0,1,916,949,949,1507,1642,4546,11038,11218,11806,12207,13109,13109,20345
MORABITO Steve,0,407,407,432,432,437,437,1641,1646,1714,1959,1959,1959,1959,2845
RODRIGUEZ OLIVER Joaquin,0,1,1,28,28,33,33,231,231,231,548,548,548,548,711
ROGERS Michael,0,1,1,9,9,14,14,240,614,614,828,828,728,728,954
GESINK Robert,0,1,827,903,903,908,908,1650,1655,1835,2132,2132,3017,3017,3328
EL FARES Julien,0,539,539,648,648,653,653,2432,4924,4924,5506,5506,10351,10351,13627
FISCHER Murilo Antoniobil,0,1735,2601,2719,2719,2743,4236,11243,13249,13429,13855,13855,14805,14805,22041
KESSIAKOFF Fredrik,0,1,1,56,56
ALBASINI Michael,0,1,1,0,0,5,5,2859,5122,5122,5540,5840,10750,10033,13309
MOINARD Amal,0,1,1,26,26,31,31,1500,4100,4100,4449,4449,4449,4449,10203
BOUHANNI Nacer,0,1735,3419,3500,3500
LUTSENKO Alexey,0,1244,2159,2254,2254,3342,4835,11739,12516,12826,13111,13111,14013,14013,21249
BAUER Jack,0,1735,2601,2749,3757,3802,5255,12159,14819,14829,15134,15134,15134,15134,22300
BAKELANTS Jan,0,0,0,28,28,33,33,815,1552,1552,1902,1902,3129,2412,2916
GOSS Matthew Harley,0,1735,2601,2600,3608,3608,5101,12208,14700,14700,15055,15055,15940,15940,23216
PLAZA MOLINA Ruben,0,407,747,806,806,830,830,1735,2422,2602,2822,2822,4049,4049,10009
PINEAU Jrme,0,1735,2650,2650,2650,3048,4541,11648,14248,14544,15104,15448,15448,15448,22724
PAULINHO Sergio Miguel Moreira,0,539,1405,1430,1430,1828,3321,5852,11858,12521,12905,13306,14533,14533,21309
FLECHA GIANNONI Juan Antonio,0,1,1,33,33,33,33,2927,5150,5200,5459,5900,10802,10802,14038
HOOGERLAND Johnny,0,1735,2650,2724,2724,3434,4927,10706,13158,13158,13627,13627,14854,14854,20608
VEILLEUX David,0,906,1408,1520,2528,2533,4026,10920,12926,13106,13434,13734,14619,14619,21355
ARASHIRO Yukiya,0,1,230,342,342,347,347,3251,5514,5514,5931,5931,10816,10816,13839
CURVERS Roy,0,1735,2601,2747,2747,2752,4245,11149,13641,13734,14330,14330,15215,15215,21951
LOPEZ GARCIA David,0,1735,2115,2117,2117,2311,3804,10108,12708,13331,14008,14409,15254,15648,22544
DIDIER Laurent,0,539,1152,1329,1329,1847,1847,2944,4102,4102,4606,4606,5451,5451,11147
CIMOLAI Davide,0,1,916,940,940,1031,2524,5631,12231,12618,13041,13041,13943,13943,21219
BOOM Lars,0,1735,2115,2151,2151,2156,3649,10543,13035,13035,13306,13713,13713,13713,20207
MILLAR David,0,1,1,17,1025,1543,1707,4011,10611,11028,11250,11250,12152,11906,14213
SCHR Michael,0,407,407,551,551,556,2049,5156
DEGENKOLB John,0,1244,2110,2256,2256,2428,2428,5535,11758,11921,12404,12404,12404,12404,15150
TALANSKY Andrew,0,1,1,17,17,22,22,248,935,1115,1311,1311,1311,554,1232
VOECKLER Thomas,0,1,1,115,115,120,1613,3753,10353,10543,11010,11354,12621,12621,13823
COPPEL Jrme,0,1244,1244,1403,1403,1408,2901,4640,11240,11420,11712,11712,12939,12939,14245
DUMOULIN Samuel,0,1735,2115,2313,2313,2313,3806,10710,13310,13310,13816,13816,14718,14718,21454
DUMOULIN Tom,0,1244,1301,1447,1447,1452,1452,3321,4439,4439,4612,4612,5457,5457,11211
VICHOT Arthur,0,1,916,957,957,1002,1002,2831,3949,3949,4425,4425,4425,3708,5505
PRAUD Jean-Christophe,0,1,1,104,104,109,109,329,329,329,539,539,539,539,747
DE CLERCQ Bart,0,1244,1244,1300,1300,1305,2758,4627,5314,5937,10331,10331,10751,10751,11003
SIEBERG Marcel,0,1735,2650,2800,2800,2805,4258,11405,14005,14015,14523,14523,14523,14523,21259
FROOME Christopher,0,1,1,3,3,8,8,0,0,0,0,0,0,0,0
KASHECHKIN Andrey,0,1
CUNEGO Damiano,0,1,1,25,25,124,124,1543,2230,2230,2609,2609,3836,3836,10612
VEELERS Tom,0,1735,3419,3605,4613,4618,10111,13218,15818,15818,20410,20410,20830,21135,24411
WILLEMS Frederik,0,1735,2601,2744,3752,3843,5336,12443,14935,15239,15829,20213,20436,20830,23606
QUINTANA ROJAS Nairo Alexander,0,1,1,20,20,25,25,202,202,202,518,518,518,518,547
FAVILLI Elia,0,1,1,48,1056,1806,1806,4700,11152,11152,11650,11650,12917,12917,20153
